id;settings;time;tree
15;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/dataDIVAT1_partition_0', 'test-file': 'test/dataDIVAT1_partition_0', 'core-file': 'dataDIVAT1'};2.978;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 59.59642974482532,[lambda x: x['num_year_tx'] > 2007.0,[1.199402],[1.943662]],[lambda x: x['num_year_tx'] > 2004.0,[1.830276],[3.394524]]],[lambda x: x['num_year_tx'] > 2009.0,[lambda x: x['num_ageR'] > 56.23015003833096,[0.610577],[0.964631]],[lambda x: x['num_ageR'] > 48.92536414412441,[0.169357],[1.854132]]]]
16;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/dataDIVAT1_partition_1', 'test-file': 'test/dataDIVAT1_partition_1', 'core-file': 'dataDIVAT1'};2.895;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 56.23015003833096,[1.268578],[2.276983]],[lambda x: x['num_ageR'] > 63.23787098893878,[0.642296],[1.527646]]]
17;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/dataDIVAT1_partition_2', 'test-file': 'test/dataDIVAT1_partition_2', 'core-file': 'dataDIVAT1'};3.193;[lambda x: x['num_ageR'] > 56.23015003833096,[lambda x: x['fac_graft'] == 'No',[1.319683],[0.599554]],[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_year_tx'] > 2004.0,[1.578257],[3.123371]],[1.007654]]]
18;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/dataDIVAT1_partition_3', 'test-file': 'test/dataDIVAT1_partition_3', 'core-file': 'dataDIVAT1'};2.982;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 56.23015003833096,[1.250771],[lambda x: x['num_year_tx'] > 2006.0,[1.88036],[3.46721]]],[lambda x: x['num_ageR'] > 63.23787098893878,[0.667577],[lambda x: x['num_year_tx'] > 2009.0,[1.139631],[2.75101]]]]
19;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/dataDIVAT1_partition_4', 'test-file': 'test/dataDIVAT1_partition_4', 'core-file': 'dataDIVAT1'};3.039;[lambda x: x['num_ageR'] > 63.23787098893878,[lambda x: x['fac_graft'] == 'No',[1.38452],[0.659524]],[lambda x: x['fac_graft'] == 'No',[2.666723],[1.430481]]]
20;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/dataDIVAT3_partition_0', 'test-file': 'test/dataDIVAT3_partition_0', 'core-file': 'dataDIVAT3'};5.734;[lambda x: x['num_ageR'] > 56.0,[0.541867],[2.07735]]
21;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/dataDIVAT3_partition_1', 'test-file': 'test/dataDIVAT3_partition_1', 'core-file': 'dataDIVAT3'};5.886;[lambda x: x['num_ageR'] > 56.0,[0.583883],[1.975772]]
22;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/dataDIVAT3_partition_2', 'test-file': 'test/dataDIVAT3_partition_2', 'core-file': 'dataDIVAT3'};7.024;[lambda x: x['num_ageR'] > 44.0,[lambda x: x['num_year_tx'] > 2006.0,[0.515813],[0.048018]],[lambda x: x['num_ageR'] > 56.0,[0.896455],[1.881073]]]
23;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/dataDIVAT3_partition_3', 'test-file': 'test/dataDIVAT3_partition_3', 'core-file': 'dataDIVAT3'};7.487;[lambda x: x['fac_ante_diab'] == 'No',[lambda x: x['num_year_tx'] > 2007.0,[lambda x: x['num_ageR'] > 52.0,[1.195339],[3.232554]],[lambda x: x['num_ageR'] > 70.0,[0.326178],[23.981414]]],[lambda x: x['num_ageR'] > 56.0,[lambda x: x['num_ageR'] > 39.0,[0.19857],[0.613585]],[lambda x: x['num_ageR'] > 70.0,[1.609113],[3.462541]]]]
24;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/dataDIVAT3_partition_4', 'test-file': 'test/dataDIVAT3_partition_4', 'core-file': 'dataDIVAT3'};7.037;[lambda x: x['num_ageR'] > 60.0,[lambda x: x['fac_ante_diab'] == 'No',[1.380641],[lambda x: x['num_ageR'] > 39.0,[0.198941],[0.766139]]],[2.157592]]
25;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/Dialysis_partition_0', 'test-file': 'test/Dialysis_partition_0', 'core-file': 'Dialysis'};14.068;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 55.0,[1.052069],[2.194358]],[lambda x: x['num_age'] > 35.0,[lambda x: x['fac_disease'] == 'diabetes',[0.014394],[1.032314]],[lambda x: x['num_age'] > 51.0,[0.296318],[0.910539]]]],[lambda x: x['num_age'] > 55.0,[lambda x: x['fac_disease'] == 'diabetes',[lambda x: x['num_age'] > 42.0,[0.424193],[0.749878]],[1.073307]],[lambda x: x['num_age'] > 70.0,[1.394846],[2.331113]]]]
26;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/Dialysis_partition_1', 'test-file': 'test/Dialysis_partition_1', 'core-file': 'Dialysis'};16.068;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 47.0,[0.869054],[1.912351]],[lambda x: x['num_age'] > 55.0,[0.287578],[1.011471]]],[lambda x: x['num_age'] > 51.0,[lambda x: x['fac_disease'] == 'diabetes',[0.504225],[1.176065]],[lambda x: x['num_age'] > 65.0,[1.138186],[2.142521]]]]
27;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/Dialysis_partition_2', 'test-file': 'test/Dialysis_partition_2', 'core-file': 'Dialysis'};14.352;[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 55.0,[0.986524],[2.064386]],[lambda x: x['num_age'] > 51.0,[lambda x: x['fac_disease'] == 'diabetes',[lambda x: x['fac_center'] > 1071.0,[0.189705],[0.494143]],[0.939087]],[lambda x: x['fac_center'] > 1071.0,[0.915708],[lambda x: x['num_age'] > 70.0,[1.326836],[2.451202]]]]]
