id;settings;time;results 
18;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT1_partition_3", "test-file": "test/dataDIVAT1_partition_3"};4.55761884848277;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 60.2152,[None],[None]],[lambda x: x['num_year_tx'] > 2002,[None],[lambda x: x['num_ageR'] > 55.64834,[None],[None]]]] 
19;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT1_partition_4", "test-file": "test/dataDIVAT1_partition_4"};4.29468439817429;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 55.89749,[None],[None]],[lambda x: x['num_year_tx'] > 2002,[None],[lambda x: x['num_year_tx'] > 2005,[None],[None]]]] 
20;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_0", "test-file": "test/dataDIVAT3_partition_0"};3.81857988039653;[lambda x: x['num_ageR'] > 55,[lambda x: x['num_ageR'] > 33,[lambda x: x['num_year_tx'] > 2002,[None],[None]],[lambda x: x['fac_ante_diab'] == 'No',[None],[None]]],[lambda x: x['num_ageR'] > 71,[None],[None]]] 
21;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_1", "test-file": "test/dataDIVAT3_partition_1"};3.86455228328705;[lambda x: x['num_ageR'] > 56,[lambda x: x['fac_ante_diab'] == 'No',[None],[lambda x: x['num_year_tx'] > 2002,[None],[None]]],[lambda x: x['num_year_tx'] > 2002,[None],[None]]] 
22;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_2", "test-file": "test/dataDIVAT3_partition_2"};3.58736781279246;[lambda x: x['num_ageR'] > 54,[lambda x: x['fac_ante_diab'] == 'No',[None],[lambda x: x['num_year_tx'] > 2008,[None],[None]]],[lambda x: x['num_year_tx'] > 2002,[lambda x: x['num_ageR'] > 65,[None],[None]],[None]]] 
23;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_3", "test-file": "test/dataDIVAT3_partition_3"};4.01391446590424;[lambda x: x['num_ageR'] > 56,[lambda x: x['num_ageR'] > 38,[lambda x: x['num_year_tx'] > 2002,[None],[None]],[None]],[lambda x: x['num_year_tx'] > 2002,[None],[None]]] 
24;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_4", "test-file": "test/dataDIVAT3_partition_4"};3.90539163351059;[lambda x: x['num_ageR'] > 56,[None],[None]] 
25;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_0", "test-file": "test/Dialysis_partition_0"};1.25388338565826;[lambda x: x['num_age'] > 55,[lambda x: x['num_age'] > 44,[lambda x: x['num_begin'] > 13,[None],[None]],[None]],[lambda x: x['num_age'] > 64,[lambda x: x['fac_disease'] == 'diabetes',[None],[None]],[lambda x: x['num_age'] > 82,[None],[None]]]] 
26;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_1", "test-file": "test/Dialysis_partition_1"};1.19738950332006;[lambda x: x['num_age'] > 55,[lambda x: x['num_age'] > 44,[lambda x: x['num_begin'] > 13,[None],[None]],[None]],[lambda x: x['num_age'] > 70,[None],[lambda x: x['num_age'] > 87,[None],[None]]]] 
27;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_2", "test-file": "test/Dialysis_partition_2"};1.25702063242594;[lambda x: x['num_age'] > 55,[lambda x: x['fac_disease'] == 'diabetes',[lambda x: x['num_age'] > 44,[None],[None]],[None]],[lambda x: x['num_age'] > 64,[lambda x: x['fac_disease'] == 'diabetes',[None],[None]],[lambda x: x['num_age'] > 85,[None],[None]]]] 
28;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_3", "test-file": "test/Dialysis_partition_3"};1.2018007516861;[lambda x: x['num_age'] > 55,[lambda x: x['num_age'] > 44,[lambda x: x['num_begin'] > 13,[None],[None]],[None]],[lambda x: x['num_age'] > 71,[lambda x: x['fac_disease'] == 'congen',[None],[None]],[None]]] 
