id;settings;time;tree
17;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT1_partition_2", "test-file": "test/dataDIVAT1_partition_2", "core-file": "dataDIVAT1"};92.156;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 64.06609352754353,[None],[None]],[lambda x: x['num_ageR'] < 55.913919614500045,[None],[None]]]
18;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT1_partition_3", "test-file": "test/dataDIVAT1_partition_3", "core-file": "dataDIVAT1"};119.766;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 62.698499616690384,[None],[None]],[lambda x: x['num_ageR'] < 55.913919614500045,[None],[None]]]
19;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT1_partition_4", "test-file": "test/dataDIVAT1_partition_4", "core-file": "dataDIVAT1"};176.135;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 64.06609352754353,[None],[None]],[lambda x: x['num_ageR'] < 55.92487131748986,[lambda x: x['num_year_tx'] < 2004.5,[None],[None]],[None]]]
20;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_0", "test-file": "test/dataDIVAT3_partition_0", "core-file": "dataDIVAT3"};156.049;[lambda x: x['num_ageR'] < 56.5,[None],[None]]
21;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_1", "test-file": "test/dataDIVAT3_partition_1", "core-file": "dataDIVAT3"};113.315;[lambda x: x['fac_pra'] in ['Undetectable'],[lambda x: x['num_ageR'] < 65.5,[None],[lambda x: x['num_ageR'] < 31.5,[None],[None]]],[lambda x: x['num_ageR'] < 56.5,[None],[None]]]
22;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_2", "test-file": "test/dataDIVAT3_partition_2", "core-file": "dataDIVAT3"};127.656;[lambda x: x['num_ageR'] < 54.5,[None],[lambda x: x['num_ageR'] < 38.5,[None],[None]]]
23;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_3", "test-file": "test/dataDIVAT3_partition_3", "core-file": "dataDIVAT3"};134.249;[lambda x: x['fac_ante_diab'] in ['No'],[lambda x: x['num_year_tx'] < 2007.5,[lambda x: x['num_ageR'] < 70.5,[None],[None]],[lambda x: x['num_ageR'] < 45.5,[None],[None]]],[lambda x: x['num_ageR'] < 55.5,[lambda x: x['num_ageR'] < 71.5,[None],[None]],[lambda x: x['num_ageR'] < 38.5,[None],[None]]]]
24;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_4", "test-file": "test/dataDIVAT3_partition_4", "core-file": "dataDIVAT3"};111.675;[lambda x: x['num_ageR'] < 58.5,[None],[None]]
25;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_0", "test-file": "test/Dialysis_partition_0", "core-file": "Dialysis"};98.208;[lambda x: x['fac_center'] < 1129.5,[lambda x: x['num_age'] < 55.5,[lambda x: x['fac_center'] < 1265.5,[None],[None]],[lambda x: x['fac_center'] < 1265.5,[None],[None]]],[lambda x: x['num_age'] < 64.5,[lambda x: x['fac_center'] < 124.0,[None],[None]],[lambda x: x['fac_center'] < 829.9999999999999,[None],[None]]]]
26;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_1", "test-file": "test/Dialysis_partition_1", "core-file": "Dialysis"};74.12;[lambda x: x['num_age'] < 55.50000000000001,[lambda x: x['fac_center'] < 124.0,[lambda x: x['num_age'] < 70.5,[None],[None]],[lambda x: x['num_age'] < 66.0,[None],[None]]],[lambda x: x['fac_center'] < 1129.5,[lambda x: x['fac_center'] < 1265.5,[None],[None]],[lambda x: x['fac_center'] < 829.9999999999999,[None],[None]]]]
