id;settings;time;tree
14;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/csl_partition_4', 'test-file': 'test/csl_partition_4', 'core-file': 'csl'};0.54;[lambda x: x['num_prot'] > 52.0,[3.815917],[lambda x: x['num_age'] > 2.0,[0.442446],[1.202023]]]
15;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT1_partition_0', 'test-file': 'test/dataDIVAT1_partition_0', 'core-file': 'dataDIVAT1'};0.514;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 59.59642974482532,[lambda x: x['num_year_tx'] > 2007.0,[1.199402],[1.943662]],[lambda x: x['num_year_tx'] > 2004.0,[1.830276],[3.394524]]],[lambda x: x['num_year_tx'] > 2009.0,[lambda x: x['num_ageR'] > 56.23015003833096,[0.610577],[0.964631]],[lambda x: x['num_ageR'] > 48.92536414412441,[0.169357],[1.854132]]]]
16;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT1_partition_1', 'test-file': 'test/dataDIVAT1_partition_1', 'core-file': 'dataDIVAT1'};0.64;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 56.23015003833096,[1.268578],[2.276983]],[lambda x: x['num_ageR'] > 63.23787098893878,[0.642296],[1.527646]]]
17;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT1_partition_2', 'test-file': 'test/dataDIVAT1_partition_2', 'core-file': 'dataDIVAT1'};0.66;[lambda x: x['num_ageR'] > 56.23015003833096,[lambda x: x['fac_graft'] == 'No',[1.319683],[0.599554]],[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_year_tx'] > 2004.0,[1.578257],[3.123371]],[1.007654]]]
18;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT1_partition_3', 'test-file': 'test/dataDIVAT1_partition_3', 'core-file': 'dataDIVAT1'};0.535;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 56.23015003833096,[lambda x: x['num_year_tx'] > 2007.0,[1.154659],[1.906391]],[lambda x: x['num_year_tx'] > 2006.0,[1.88036],[3.46721]]],[lambda x: x['num_ageR'] > 63.23787098893878,[0.667577],[lambda x: x['num_year_tx'] > 2009.0,[1.139631],[2.75101]]]]
19;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT1_partition_4', 'test-file': 'test/dataDIVAT1_partition_4', 'core-file': 'dataDIVAT1'};0.515;[lambda x: x['num_ageR'] > 63.23787098893878,[lambda x: x['fac_graft'] == 'No',[1.38452],[0.659524]],[lambda x: x['fac_graft'] == 'No',[2.666723],[1.430481]]]
20;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT3_partition_0', 'test-file': 'test/dataDIVAT3_partition_0', 'core-file': 'dataDIVAT3'};0.558;[lambda x: x['num_ageR'] > 56.0,[lambda x: x['fac_ante_diab'] == 'No',[1.100171],[0.433995]],[2.07735]]
21;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT3_partition_1', 'test-file': 'test/dataDIVAT3_partition_1', 'core-file': 'dataDIVAT3'};0.552;[lambda x: x['num_ageR'] > 56.0,[0.583883],[1.975772]]
22;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT3_partition_2', 'test-file': 'test/dataDIVAT3_partition_2', 'core-file': 'dataDIVAT3'};0.564;[lambda x: x['num_ageR'] > 44.0,[lambda x: x['num_year_tx'] > 2006.0,[0.515813],[0.048018]],[lambda x: x['num_ageR'] > 56.0,[0.896455],[1.881073]]]
23;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT3_partition_3', 'test-file': 'test/dataDIVAT3_partition_3', 'core-file': 'dataDIVAT3'};0.617;[lambda x: x['num_ageR'] > 56.0,[lambda x: x['fac_ante_diab'] == 'No',[1.176599],[lambda x: x['num_ageR'] > 39.0,[0.19857],[0.613585]]],[lambda x: x['num_ageR'] > 70.0,[1.723861],[4.081742]]]
