id;settings;time;tree
12;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/csl_partition_2", "test-file": "test/csl_partition_2"};3.754;[lambda x: x['num_prot'] < 75.5,[lambda x: x['num_age'] < 11.5,[lambda x: x['num_prot_base'] < 59.5,[None],[None]],[lambda x: x['num_age'] < -6.500000000000007,[None],[None]]],[lambda x: x['num_age'] < 2.5,[lambda x: x['num_prot_prev'] < 49.49999999999999,[None],[None]],[lambda x: x['num_prot'] < 48.49999999999999,[None],[None]]]]
13;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/csl_partition_3", "test-file": "test/csl_partition_3"};3.433;[lambda x: x['num_age'] < 2.5,[lambda x: x['num_prot'] < 76.5,[lambda x: x['fac_treat'] in ['prednisone'],[None],[None]],[lambda x: x['num_prot_prev'] < 46.5,[None],[None]]],[lambda x: x['num_prot'] < 74.5,[lambda x: x['num_age'] < -4.5,[None],[None]],[lambda x: x['num_prot'] < 53.49999999999999,[None],[None]]]]
14;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/csl_partition_4", "test-file": "test/csl_partition_4"};3.912;[lambda x: x['num_age'] < 2.5,[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_prot'] < 76.5,[None],[None]],[lambda x: x['num_prot'] < 47.5,[None],[None]]],[lambda x: x['num_prot'] < 72.5,[lambda x: x['num_age'] < -6.500000000000007,[None],[None]],[lambda x: x['num_prot'] < 47.5,[None],[None]]]]
15;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT1_partition_0", "test-file": "test/dataDIVAT1_partition_0"};8.36;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 64.06609352754353,[lambda x: x['num_year_tx'] < 2009.5,[None],[None]],[lambda x: x['num_ageR'] < 55.22670025188917,[None],[None]]],[lambda x: x['num_year_tx'] < 2004.5,[lambda x: x['num_ageR'] < 55.897492060015324,[None],[None]],[lambda x: x['num_ageR'] < 64.7724783703866,[None],[None]]]]
16;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT1_partition_1", "test-file": "test/dataDIVAT1_partition_1"};7.228;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_year_tx'] < 2008.5,[lambda x: x['num_ageR'] < 52.2779542218815,[None],[None]],[lambda x: x['num_ageR'] < 62.63963421312013,[None],[None]]],[lambda x: x['num_year_tx'] < 2004.5,[lambda x: x['num_ageR'] < 55.89064724564669,[None],[None]],[lambda x: x['num_ageR'] < 64.69581644945788,[None],[None]]]]
17;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT1_partition_2", "test-file": "test/dataDIVAT1_partition_2"};5.013;[lambda x: x['num_ageR'] < 64.17561055744169,[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 73.0998795312671,[None],[None]],[lambda x: x['num_ageR'] < 64.30155514182455,[None],[None]]],[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 53.90565107874275,[None],[None]],[lambda x: x['num_year_tx'] < 2007.5,[None],[None]]]]
18;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT1_partition_3", "test-file": "test/dataDIVAT1_partition_3"};4.82;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 53.89469937575292,[lambda x: x['num_ageR'] < 71.0861351440149,[None],[None]],[lambda x: x['num_ageR'] < 27.936425364144124,[None],[None]]],[lambda x: x['num_ageR'] < 60.21793888949732,[lambda x: x['num_year_tx'] < 2004.5,[None],[None]],[lambda x: x['num_year_tx'] < 2007.5,[None],[None]]]]
19;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT1_partition_4", "test-file": "test/dataDIVAT1_partition_4"};5.107;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 53.10891468623372,[lambda x: x['num_ageR'] < 64.18656226043151,[None],[None]],[lambda x: x['num_ageR'] < 28.828989157814043,[None],[None]]],[lambda x: x['fac_year_tx'] < 2003.5,[lambda x: x['num_ageR'] < 55.913919614500045,[None],[None]],[lambda x: x['num_ageR'] < 54.91320775380572,[None],[None]]]]
20;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_0", "test-file": "test/dataDIVAT3_partition_0"};3.484;[lambda x: x['fac_ante_diab'] in ['No'],[lambda x: x['fac_pra'] in ['Detectable'],[lambda x: x['num_ageR'] < 45.5,[None],[None]],[lambda x: x['num_ageR'] < 68.5,[None],[None]]],[lambda x: x['num_ageR'] < 50.5,[lambda x: x['num_ageR'] < 65.5,[None],[None]],[lambda x: x['num_ageD'] < 33.50000000000001,[None],[None]]]]
21;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_1", "test-file": "test/dataDIVAT3_partition_1"};4.582;[lambda x: x['fac_ante_diab'] in ['Yes'],[lambda x: x['num_ageR'] < 54.5,[lambda x: x['num_ageR'] < 65.5,[None],[None]],[lambda x: x['num_ageR'] < 38.5,[None],[None]]],[lambda x: x['fac_pra'] in ['Undetectable'],[lambda x: x['num_ageR'] < 68.5,[None],[None]],[lambda x: x['num_ageR'] < 45.5,[None],[None]]]]
