id;settings;time;tree
11;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/csl_partition_1', 'test-file': 'test/csl_partition_1'};0.047;[lambda x: x['num_prot'] > 70.0,[lambda x: x['num_age'] > 2.0,[lambda x: x['num_prot'] > 52.0,[2.562206],[1.132773]],[lambda x: x['num_prot_prev'] > 53.0,[8.567377],[2.728038]]],[lambda x: x['num_age'] > 2.0,[lambda x: x['num_age'] > -8.0,[0.153266],[0.469356]],[lambda x: x['num_prot_base'] > 87.0,[1.250797],[0.310816]]]]
12;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/csl_partition_2', 'test-file': 'test/csl_partition_2'};0.051;[lambda x: x['num_age'] > 2.0,[lambda x: x['num_prot'] > 78.0,[lambda x: x['num_prot'] > 52.0,[2.699727],[0.701176]],[lambda x: x['num_age'] > -8.0,[0.158343],[0.518869]]],[lambda x: x['num_prot_prev'] > 53.0,[lambda x: x['num_prot'] > 78.0,[8.381329],[0.474227]],[lambda x: x['num_prot'] > 70.0,[2.734831],[0.816789]]]]
13;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/csl_partition_3', 'test-file': 'test/csl_partition_3'};0.048;[lambda x: x['num_prot'] > 52.0,[lambda x: x['num_age'] > 13.0,[lambda x: x['num_age'] > 2.0,[2.95537],[5.936707]],[lambda x: x['num_prot'] > 34.5,[51.096632],[1.084088]]],[lambda x: x['num_prot'] > 78.0,[lambda x: x['num_age'] > 2.0,[0.768787],[1.836546]],[lambda x: x['num_age'] > -5.0,[0.171387],[0.758735]]]]
14;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/csl_partition_4', 'test-file': 'test/csl_partition_4'};0.059;[lambda x: x['num_prot'] > 78.0,[lambda x: x['num_age'] > 2.0,[lambda x: x['num_prot'] > 52.0,[2.976669],[0.782445]],[lambda x: x['num_prot_prev'] > 53.0,[7.823422],[2.219787]]],[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 2.0,[0.232261],[1.49489]],[lambda x: x['num_age'] > -5.0,[0.076106],[0.471216]]]]
15;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT1_partition_0', 'test-file': 'test/dataDIVAT1_partition_0'};0.032;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_year_tx'] > 2004.0,[lambda x: x['num_ageR'] > 63.23787098893878,[1.225156],[1.853847]],[lambda x: x['num_ageR'] > 56.23015003833096,[1.444537],[2.883105]]],[lambda x: x['num_ageR'] > 39.44940313218705,[lambda x: x['num_year_tx'] > 2008.0,[0.696376],[0.03695]],[lambda x: x['num_ageR'] > 63.23787098893878,[0.664076],[1.370091]]]]
16;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT1_partition_1', 'test-file': 'test/dataDIVAT1_partition_1'};0.079;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 56.23015003833096,[lambda x: x['num_year_tx'] > 2007.0,[1.186676],[1.949531]],[lambda x: x['num_year_tx'] > 2004.0,[1.634576],[3.195114]]],[lambda x: x['num_ageR'] > 63.23787098893878,[lambda x: x['num_ageR'] > 56.23015003833096,[0.581511],[0.837799]],[lambda x: x['num_year_tx'] > 2009.0,[1.261533],[3.139707]]]]
17;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT1_partition_2', 'test-file': 'test/dataDIVAT1_partition_2'};0.025;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_year_tx'] > 2004.0,[lambda x: x['num_ageR'] > 63.23787098893878,[1.159644],[2.099527]],[lambda x: x['num_ageR'] > 59.59642974482532,[1.484463],[3.297346]]],[lambda x: x['num_year_tx'] > 2002.0,[lambda x: x['num_ageR'] > 24.98083451976782,[1.223514],[0.522951]],[lambda x: x['num_ageR'] > 63.23787098893878,[0.72877],[1.704681]]]]
18;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT1_partition_3', 'test-file': 'test/dataDIVAT1_partition_3'};0.03;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 59.59642974482532,[lambda x: x['num_year_tx'] > 2007.0,[1.230695],[1.887411]],[lambda x: x['num_year_tx'] > 2004.0,[1.821734],[3.532016]]],[lambda x: x['num_year_tx'] > 2002.0,[lambda x: x['num_ageR'] > 24.98083451976782,[1.072826],[0.518354]],[lambda x: x['num_ageR'] > 52.72286715584274,[0.640727],[1.03812]]]]
19;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT1_partition_4', 'test-file': 'test/dataDIVAT1_partition_4'};0.028;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 59.59642974482532,[lambda x: x['num_year_tx'] > 2007.0,[1.229666],[1.945254]],[lambda x: x['num_year_tx'] > 2004.0,[1.958168],[3.255436]]],[lambda x: x['num_year_tx'] > 2009.0,[lambda x: x['num_ageR'] > 56.23015003833096,[0.61239],[0.932442]],[lambda x: x['num_ageR'] > 48.92536414412441,[0.16743],[1.523038]]]]
20;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT3_partition_0', 'test-file': 'test/dataDIVAT3_partition_0'};0.041;[lambda x: x['fac_ante_diab'] == 'No',[lambda x: x['num_year_tx'] > 2007.0,[lambda x: x['num_ageR'] > 52.0,[1.110346],[3.1634]],[lambda x: x['num_ageR'] > 70.0,[0.458155],[8.854817]]],[lambda x: x['num_ageR'] > 64.5,[lambda x: x['num_ageR'] > 48.0,[0.31873],[1.080521]],[lambda x: x['num_ageD'] > 56.0,[4.905677],[1.991927]]]]
